Dataset,Dataset Type,Framework,Trial,F1 Score,Training Time
31,binary,4intelligence,1,0.5982003365299604,174.78968032471312
31,binary,4intelligence,2,0.6028643206446391,171.07740992697654
31,binary,4intelligence,3,0.6005035880592918,121.12780021209619
31,binary,4intelligence,4,0.6005035880592918,158.29544121398067
31,binary,4intelligence,5,0.5999297444599924,168.60599744672072
31,binary,4intelligence,6,0.6021388998579837,152.7172253452154
31,binary,4intelligence,7,0.6047881034025158,144.62756903315312
31,binary,4intelligence,8,0.6001602098392159,119.86053526798787
31,binary,4intelligence,9,0.5949466097489118,140.96269726703758
31,binary,4intelligence,10,0.6005035880592918,135.11047027198947
31,binary,4intelligence,11,0.6028643206446391,146.20295787704526
31,binary,4intelligence,12,0.6005035880592918,148.52384093585715
31,binary,4intelligence,13,0.5968280563177435,123.6442238290183
31,binary,4intelligence,14,0.6061438319024156,152.00446948304307
31,binary,4intelligence,15,0.6028643206446391,171.12091853095626
31,binary,4intelligence,16,0.6028643206446391,137.21891210912145
31,binary,4intelligence,17,0.5929122816668018,170.81492405984318
31,binary,4intelligence,18,0.6044136829401797,110.74038832802034
31,binary,4intelligence,19,0.6028643206446391,143.01955814687244
31,binary,4intelligence,20,0.6044611064593481,122.1754739121534
31,binary,autogluon,1,0.6948958837772397,8.69268440362066
31,binary,autogluon,2,0.6773079700505492,7.517629225738347
31,binary,autogluon,3,0.7150832809033412,8.340926222503185
31,binary,autogluon,4,0.7828138528138529,7.831965099088848
31,binary,autogluon,5,0.7205548724739117,8.280288523994386
31,binary,autogluon,6,0.7219689393688532,11.63499846123159
31,binary,autogluon,7,0.7865625,11.764974601566792
31,binary,autogluon,8,0.7,10.389428718946874
31,binary,autogluon,9,0.7360498960498961,11.916711637750268
31,binary,autogluon,10,0.7445595119446711,10.2114048730582
31,binary,autogluon,11,0.7533500192529843,10.15039721969515
31,binary,autogluon,12,0.7513357516270137,11.150471828877926
31,binary,autogluon,13,0.7556512337450755,12.147085008211434
31,binary,autogluon,14,0.6890065460146323,12.496183480136096
31,binary,autogluon,15,0.7531333333333333,12.528722807765007
31,binary,autogluon,16,0.7689930145768875,12.58224249072373
31,binary,autogluon,17,0.748882446460301,12.593066286295652
31,binary,autogluon,18,0.7173541237618908,13.221542184241116
31,binary,autogluon,19,0.7401253918495297,14.546825026161969
31,binary,autogluon,20,0.7286019549196756,11.607272246852517
31,binary,autokeras,1,0.6973352033660589,28.577177752973512
31,binary,autokeras,2,0.669166144200627,28.582413857016945
31,binary,autokeras,3,0.6354706094482511,32.107286587997805
31,binary,autokeras,4,0.72,29.001963868999155
31,binary,autokeras,5,0.6725373134328357,31.195277096994687
31,binary,autokeras,6,0.7157144151490441,28.9101900520036
31,binary,autokeras,7,0.6788824464603012,28.06545587198343
31,binary,autokeras,8,0.6918087265347539,28.24741988599999
31,binary,autokeras,9,0.6929234843469214,47.81324868000229
31,binary,autokeras,10,0.670209973753281,46.359862987999804
31,binary,autokeras,11,0.6901749288251006,31.34455553800217
31,binary,autokeras,12,0.7493867334167709,54.069497674005106
31,binary,autokeras,13,0.7053732193732194,35.1321275549999
31,binary,autokeras,14,0.7307187955318115,30.59830375900492
31,binary,autokeras,15,0.6700105277010132,36.22735124302562
31,binary,autokeras,16,0.690379403794038,60.12665427499451
31,binary,autokeras,17,0.709648176127779,25.463980953005375
31,binary,autokeras,18,0.5540211481655893,59.406558315007715
31,binary,autokeras,19,0.6448250991705734,28.444347394019132
31,binary,autokeras,20,0.6615100514258998,31.160740886989515
31,binary,autopytorch,1,0.7023066485753052,315.8378221625462
31,binary,autopytorch,2,0.729381024860477,310.66683852206916
31,binary,autopytorch,3,0.7115298736351366,317.0233023222536
31,binary,autopytorch,4,0.8053553235304745,331.5704921884462
31,binary,autopytorch,5,0.6723246276710555,313.8109715785831
31,binary,autopytorch,6,0.7516013591446117,319.2073361687362
